N,P,K,temperature,humidity,ph,rainfall,label
113,44,42,27.07982542275608,99.08775054099067,5.750502758136,234.4017237994808,rice
100,59,52,26.692621148056308,86.00671671116592,6.3121083713467945,252.7036643316046,rice
100,54,53,29.53937987639828,98.96149593761203,6.936782918961754,239.94150750286778,rice
83,50,44,28.072124804966446,98.89908446922709,5.932498481881721,282.5254767798242,rice
118,54,59,25.288029755269385,87.53565053321688,5.7833862295558145,203.93414473120615,rice
102,42,45,28.641866967793895,94.24277591894156,5.8875264032900425,274.29251887140543,rice
119,54,53,25.196103889566185,90.45732940219601,6.571368353170286,229.79385590678638,rice
80,56,41,29.191054644954782,94.45055818109138,6.2706031846114545,237.4367906086922,rice
88,57,54,28.1436106716597,91.14672213731944,5.581962708954104,289.2645303307933,rice
100,40,43,26.975027862732375,98.86272513050574,5.795570060777756,298.43224071810636,rice
80,58,52,20.24106939628824,99.85416532449548,5.617313030894376,297.8517637598202,rice
118,49,43,26.633608352517196,87.26776539735783,6.506339106420114,210.49748895461116,rice
94,56,44,28.056065059844286,99.3974249090243,5.963312033000843,276.63600072500503,rice
111,55,55,25.63581515742785,94.48120480946044,5.691499317458841,216.73907883620086,rice
108,41,47,27.84854170020541,82.15017741432638,6.629962586357893,272.36058066498293,rice
102,42,43,23.725015794190654,80.5235389261383,6.568167846616051,224.6986891408633,rice
99,45,53,25.107009192036667,84.2931050701693,6.09783400009697,213.66187193382754,rice
119,45,43,23.5211837041533,84.89113066674341,6.798089095057668,206.2727070822502,rice
81,50,58,24.26422076743886,88.19833233692565,5.609229655615446,272.9642721566505,rice
97,47,44,27.699948317740834,92.92114698533521,6.834159167751735,224.56270274110216,rice
105,53,49,28.902668140184822,98.73885920377134,5.76199585755415,262.94371912104793,rice
88,45,45,21.554679060027144,97.08667674277864,6.40036727750405,256.22988964957165,rice
85,49,49,29.562429090315593,83.3451224838121,6.15237645961926,248.52929782350643,rice
99,30,45,17.91152517338314,56.50547231268284,6.7185496738597115,91.15812362250881,wheat
93,49,41,23.39998003300306,50.031286735787205,7.2822293954411945,111.09144866673402,wheat
89,40,41,17.340099079359266,47.86048413843157,6.923816763753048,62.0166476227798,wheat
76,46,42,23.65664704219175,48.76514439843051,7.266092752851936,69.14112839613088,wheat
98,39,43,15.254754893650656,45.387101778202215,6.712213788022968,141.98633116926266,wheat
89,39,47,20.17265774891999,41.311183127084654,7.0510537742567365,128.77612843249997,wheat
81,39,43,24.353846064608206,41.05468379851947,6.372538343459382,118.22829893207741,wheat
66,49,39,20.476329282742167,52.488309491396905,6.342913577376362,125.37651812106219,wheat
67,38,45,19.043994998580878,59.84251534588437,7.3520961298885705,129.32072032675055,wheat
87,40,30,19.5226422681651,47.83471630195669,7.4855125293281475,85.71819895155747,wheat
60,38,47,23.3202826243538,47.85407851868918,6.373272013293155,122.15566789761229,wheat
96,42,48,20.863262546433553,57.035268308826,7.366947945558965,66.9127914293756,wheat
99,44,37,21.680915478141024,53.34017231560327,6.411051616894055,121.69120470801364,wheat
73,47,35,15.011034404330422,45.404919299985096,6.859986129776402,61.563378698448176,wheat
90,34,38,20.34511579391267,51.123604004069634,7.406880740492387,65.72860497408438,wheat
80,46,30,15.580690629720062,48.57349847147745,7.368868283662629,53.40886947453192,wheat
95,44,47,23.183353245654217,46.33375100853875,6.598045562573287,107.80313873740037,wheat
84,48,37,15.681345927529492,42.86015337373387,7.062991348594819,120.48018322629318,wheat
91,33,36,17.40268442998535,47.1718850246468,7.288731195157496,115.71158705242158,wheat
66,43,44,19.652710819457436,51.45012267490124,6.063071297186857,94.75054915492049,wheat
87,38,30,18.768084674853203,41.92734366110284,6.9492289728930325,144.91026780906998,wheat
71,35,37,20.79987707168856,51.98399554965236,6.77345235137467,75.1644854280116,wheat
88,44,38,22.454263032832465,55.570445996462695,6.714127969295825,99.54312944493721,wheat
86,48,36,19.205417686948394,45.33003750785938,6.038402305587155,60.35567135660445,wheat
97,33,43,15.97483730673706,47.62397648579464,6.115680994114518,90.14489062231988,wheat
81,44,47,16.482483452902848,40.097431583328735,6.866165701375248,79.59983821669552,wheat
96,41,49,18.716788915755664,44.90894865972444,6.062513114217766,111.41118574679717,wheat
72,49,30,19.163363859899487,44.202154176588806,6.726510470427684,62.88313740540411,wheat
78,40,49,20.826870226506646,46.616645558895726,7.1935340399391725,109.39461528256177,wheat
87,38,31,15.182625858220412,41.610687832676085,6.310030826981309,138.3745097975207,wheat
96,36,43,24.468379022629634,57.54027786607428,6.796651270507918,70.83196228570142,wheat
89,34,41,19.075485421758344,57.753102632913766,6.7735777208593575,97.88022014608256,wheat
90,40,31,24.29843152584709,50.46902493694918,7.063767493162409,131.8060410413628,wheat
92,34,48,23.28427080097857,50.04815339649857,6.8985005691389,58.10732947338343,wheat
93,33,43,16.36191192174436,57.47383777458967,6.568491802268735,80.50596957778315,wheat
74,32,31,22.659147506135227,58.212108680345246,7.1616251452583635,95.29044038556421,wheat
71,33,42,17.74824164919636,50.85226185060861,6.242641293054265,105.04190862201767,wheat
67,39,41,20.617092431153516,42.624510160782926,7.440475834642642,108.26919959803405,wheat
72,31,31,15.183313274250098,52.5571814000069,7.105055398650974,79.18109562583055,wheat
72,43,43,15.972052128402144,55.2233318071197,6.368885870367176,71.02220774078381,wheat
92,45,36,15.897484706258737,58.044912892804106,7.374361229102918,68.64763384914018,wheat
96,36,32,24.869708000768906,57.724784115436,7.095331076810579,62.14587027107827,wheat
80,31,43,19.71000160755574,45.96109673928422,6.9542021445235,138.23984139990088,wheat
83,33,40,19.808344782589224,59.68415420823359,7.029757979473268,141.68969496959238,wheat
87,32,34,15.657529285705685,54.04138322903453,6.4971852084302935,134.77967890413507,wheat
64,42,38,15.254636656584896,40.97004197720159,6.07417187803792,117.96683373209936,wheat
64,47,39,17.603364844063933,47.88336657258974,7.445911233033161,103.0987519796833,wheat
61,42,37,20.745558227553268,45.21645104200827,7.274170516715305,83.93665938682389,wheat
64,42,44,22.08176035098317,41.60994711992308,6.6726372368278595,80.0155518470417,wheat
91,40,33,24.34536939340903,51.462846459020035,7.454888731586372,86.83865274928993,wheat
86,30,48,16.691434465526687,45.33311193509035,6.055402705308132,110.8446913569982,wheat
87,46,31,15.633008703368201,59.88914983284802,6.707463957133228,117.03287381645328,wheat
94,48,38,15.830466742184395,43.43218752822789,7.35952482994117,121.49816444557742,wheat
81,43,32,24.882741422108932,53.70584507297727,6.024442013087495,121.5338708521699,wheat
65,46,46,20.247600072910995,47.960237273135405,6.548462170832716,77.22174347813906,wheat
81,38,37,19.153598503012603,50.606433512165566,6.225112800684151,116.56270866871155,wheat
73,33,36,16.952145493415053,49.41278710448128,6.29092509181042,58.042988640414315,wheat
94,35,34,17.216910786145547,41.89469100207322,6.9880849757082215,106.61129063607999,wheat
88,30,43,22.752223747860075,54.95959235884683,6.478267067604372,74.25975882513355,wheat
85,38,36,24.18443630517963,48.4874181511411,6.423217306195096,76.91124539413308,wheat
64,48,43,23.796900051709425,45.10799015564007,6.933138734766274,57.885171535722094,wheat
82,37,47,17.42629730739008,57.44702675333381,7.421085315542184,91.23869426871383,wheat
98,47,36,15.097748938735926,44.91265268261806,6.283889087879625,65.3939882309098,wheat
75,37,49,20.873559967747013,47.263141190126525,6.664199503586726,89.2684949518927,wheat
82,39,48,19.67318757836587,55.44970548396947,6.122392944105868,54.01122113046903,wheat
63,44,45,18.023014614412528,53.28882674784211,7.4016337645374595,80.61415590640958,wheat
85,34,39,22.4190164982539,43.06241832234189,6.044168465996718,60.440625429554984,wheat
99,37,30,20.385544492174137,43.33334880639942,6.68918678341573,134.46234208841844,wheat
89,44,45,21.9154765466006,52.39444865666376,6.651449060099744,87.72196818871038,wheat
86,37,30,19.226419607019764,59.4763367772196,7.0290114576626594,112.33676253449593,wheat
90,41,32,17.596392815144817,58.3011564456452,7.451704883453696,99.19361676505712,wheat
64,44,44,22.10189938547758,43.27247583937551,7.107130568787753,79.70165333032394,wheat
81,44,44,19.66096791922395,43.07847452399279,7.497027914118245,97.79404894101481,wheat
86,36,36,21.174714379256585,46.00457097464127,6.549090059168803,144.9507112349881,wheat
74,41,43,22.478141439020945,43.05044237111388,6.693452816781367,77.60187960111861,wheat
62,33,43,16.382472219893938,43.59319124619138,6.1668754880338605,109.44643315679892,wheat
77,39,30,15.244609897662945,53.72609781890589,7.351363932077333,75.63912592072113,wheat
97,44,42,15.481770774561625,40.593544934163695,6.889829436782395,65.3659156991582,wheat
82,47,42,22.013233989320664,49.837546700682935,7.018900246796333,99.07146356103095,wheat
95,37,42,19.47477920081926,40.465519771611035,6.069407053263254,118.36611388776298,wheat
66,40,41,21.1108659569468,47.465429742626206,6.210994752838162,142.82144346372232,wheat
99,39,47,24.04807605783573,59.8712436336466,6.43350255679171,120.65207201410554,wheat
83,32,36,23.937434512634752,51.13317210776276,6.473275558897453,65.10394365138143,wheat
76,47,37,24.20758038993016,58.57480198904405,6.9312726382555265,103.12130410667065,wheat
75,39,37,19.62965110688306,50.01656601175483,7.081946564034308,116.53953717988298,wheat
82,45,48,21.098146112217997,46.03807447167729,7.25365459536073,79.45049173972542,wheat
69,47,33,19.07726203527004,59.672361345695165,6.666168268214377,130.61938186381042,wheat
86,33,48,23.192256917566972,47.58864453770752,6.706823458992155,111.03087019147537,wheat
78,47,44,17.6841344021455,56.27498518487796,7.484146934770859,136.97450766574985,wheat
91,49,43,24.856890957910277,40.69595145526285,6.362990692130056,107.82415154009938,wheat
76,43,38,21.32387524694848,58.29829197106031,7.278442120932228,121.52939743962365,wheat
62,33,49,19.356198329774564,57.85083445997107,7.263231456055813,56.55197710640576,wheat
72,31,36,15.779965281909694,43.017761159880955,7.1925756446300735,145.841602792848,wheat
86,30,32,24.589667522559267,46.01853332249468,6.007672557132366,137.4697611536032,wheat
67,41,30,15.861094418236627,57.25891214125974,6.327977402095296,144.2903989585836,wheat
84,38,48,23.854822248722513,58.7651113246382,6.989141583644261,77.85812459350313,wheat
97,40,38,16.536951076322627,55.081916755645324,6.047210392884884,101.51946172244726,wheat
64,32,40,23.63087852575282,46.56987932415901,7.479516301484556,146.82933620440718,wheat
70,44,46,24.622233851623236,50.1344067987275,7.302636126341864,69.95081382492744,wheat
96,39,48,22.344056816331463,53.25244878236579,6.367734845615614,139.55768168800734,wheat
71,42,46,27.9530683146263,53.56144043259565,5.86593199503822,110.44146759039711,maize
108,44,39,24.20584197458232,61.74793851262928,5.94378716949633,95.66099146814746,maize
93,35,46,22.45951159044241,65.7344342275567,6.265086504335534,102.79126839108277,maize
83,53,48,20.698819133910888,55.337703950234136,5.96270954409483,84.29643309295678,maize
73,42,43,24.0883068326077,62.250235153201785,6.011488343313824,77.2334427705367,maize
92,38,42,22.09075132672656,59.33286706936288,6.056512698328609,94.4362993992208,maize
76,38,39,26.235963044104565,53.47916937771982,6.241575211996811,92.50221699966461,maize
97,38,53,27.919800183245357,60.20113140237752,6.231109619749931,69.24037892937105,maize
79,53,53,22.26047599801351,53.449877564659865,5.9078586227669385,62.59161312697435,maize
109,39,42,18.165139026388744,51.961306863469225,6.882459134701807,92.22992182608832,maize
95,38,50,25.351881213004084,53.173384354148645,5.919865561615809,67.6674720208944,maize
79,45,38,19.531743402030774,62.821121754318305,6.6578315352330595,116.76476603549736,maize
102,53,36,24.574861449044842,68.92622538726728,6.7758798153799145,63.09596538813598,maize
77,44,49,19.32212148037398,57.770636579594566,5.866989845561648,111.07278294313852,maize
74,39,37,27.248572979317757,66.74664529786452,5.957224708933266,60.7548172419817,maize
70,46,52,20.297574372688928,60.65804646714115,5.870708200583586,77.6369928202848,maize
109,36,41,22.120089637460854,63.858939982102825,6.864535304051987,86.07843180789197,maize
91,47,36,20.963255699417996,63.061599186787944,6.444120797070105,72.62716076582814,maize
77,51,46,27.206554866187012,68.8620111117575,6.841314670789373,66.56301076571215,maize
98,52,38,25.392801565172604,55.91288127058813,6.604247628761541,78.20887644864564,maize
93,40,41,18.323293621158502,60.95631932997985,5.806663116198247,93.36958470658085,maize
80,38,41,20.53803695808855,67.00126594868986,5.911686233218377,92.60971866506509,maize
86,42,36,20.352815942444707,69.48715000075165,5.868045526048103,60.31181350931946,maize
103,45,50,26.032208155990727,68.05503361101344,6.529063147792721,100.09556257220959,maize
91,37,50,21.89776138730596,68.10175408587678,5.87294268797083,81.59117817735078,maize
80,49,54,20.823995730479172,67.9683247560009,6.9787615931545,100.57843422562397,maize
87,45,38,23.05723937841794,50.11793398592109,6.9012007028693905,92.11414371056098,maize
73,51,35,23.84352152467647,63.485793571273874,6.696934984610411,70.50828134877705,maize
70,35,52,18.258417663353733,51.65386686229919,5.8641067913629135,106.43537111835644,maize
107,36,49,21.871121424811882,63.3016484625292,6.815154146856335,104.21358062780587,maize
77,42,37,26.05297339654596,51.99171862734029,6.848866244708011,97.93238274794125,maize
74,44,48,20.406630022469464,67.13583468802071,5.878402870776971,109.03893741012703,maize
95,39,46,26.870187407798113,59.577047910046545,6.127422264884003,99.94003468453772,maize
85,39,53,19.71119321591986,61.38733063775879,6.865385669572742,69.61117753903909,maize
78,49,49,23.201958785019748,60.456435837886445,6.879097978031065,104.44161192422801,maize
105,54,53,26.84965528243916,64.11467784300547,6.459976588900439,115.23359184823147,maize
80,48,48,24.82489969350639,50.66737678397578,6.351949770426061,76.9944840961092,maize
100,44,38,25.490540063438,57.882452196867234,5.888903983088935,110.9423850500995,maize
79,36,44,19.762484435812986,51.98320825803303,6.769471657995884,103.50526510888383,maize
94,54,41,23.773233067370015,61.24374398391585,6.808724630606536,113.13544135447887,maize
90,53,52,20.239876881757635,55.771051891337834,5.864324134151659,66.05358494967736,maize
77,35,37,18.95413423641101,60.64675781781197,6.081529183393902,115.54375148994433,maize
72,39,47,24.024757029383128,60.93751868589239,6.50428691499026,63.36621457873381,maize
103,48,52,25.57631026222954,63.34574899906241,6.17511731218122,80.56723475144265,maize
93,48,53,25.60831088920621,65.95256510657113,6.501662596825578,107.34370177804983,maize
100,50,53,19.42709215628132,59.612273641253424,5.835389540335778,87.83393111941554,maize
90,42,37,22.741998671932883,53.0148133824933,6.511951472182294,61.30429190503001,maize
87,37,35,19.297294177777474,50.37035409602059,6.513762780246893,97.79682886389213,maize
89,38,44,26.522438398227013,54.795470570383856,5.824048532264019,99.5311655641873,maize
81,43,44,25.48366235505097,68.21144421552688,6.534826110569055,66.96473589196243,maize
93,52,37,21.967995349863315,59.4439125150483,6.44881607947454,77.43307874546991,maize
102,41,38,21.600183604641902,57.11019347744272,6.62582981194531,68.57978451392285,maize
90,53,42,19.85954260774049,68.30977090936989,6.814456005868882,113.68259715297026,maize
80,48,49,21.92118683642269,69.57940061474467,5.945758951056116,67.65902587965283,maize
77,43,52,20.01869000859918,67.42386055740658,6.540051640572171,80.25323826357213,maize
77,36,42,20.233427981212333,50.239706768813384,6.958736450095866,67.87491189861531,maize
102,36,39,23.67239412023359,53.835827241630355,6.635702378369104,116.10534396222434,maize
109,42,54,23.85729639867902,65.70762672141856,6.729729848073413,66.47401855960452,maize
97,37,54,18.696744450714302,67.32916661034497,6.322152734346153,84.412017452875,maize
99,43,38,19.842971145482945,64.33683006993866,6.136898912613412,101.7138328191258,maize
71,44,51,18.372905356360004,60.92074120003117,6.597744433199779,107.63453261179617,maize
83,45,48,26.322893150361658,61.783945905509,6.047041269881884,62.21015911919895,maize
92,54,52,19.143080540969432,53.082841706441826,6.260492686331771,107.94723480635346,maize
96,50,43,20.3182450534824,51.09901898207632,6.541006521619097,108.81416307091283,maize
78,40,51,23.657676338062725,61.18860935318044,6.281937382581716,77.57595017073966,maize
89,36,50,27.917039599971176,53.508134761582106,6.744824703050215,100.10303039367753,maize
84,49,46,22.823995940372054,51.963864270438194,5.898369851552176,112.35870269116597,maize
104,37,35,19.603306876041717,55.789307441950356,6.035706786918343,119.41127347070068,maize
96,41,37,27.811531650860573,69.4974721645246,6.286159644034512,62.989341993630156,maize
73,52,44,25.491991080935456,52.27365521669485,6.115910095577543,72.74409062151403,maize
71,40,43,23.335093435410446,59.699405897137325,6.280312937021433,87.73457026931338,maize
79,40,48,24.991073836161178,66.57949117939745,6.527537665199893,93.88515408324366,maize
93,42,41,23.146344641482504,56.48083471277859,5.86514302657563,67.63871415098298,maize
70,47,38,19.767019652655,59.93328489345173,5.917351152895981,84.90753591942132,maize
92,37,52,18.87208308213903,58.48838136871593,6.525046971049666,70.1554502025667,maize
93,40,48,24.8280609059197,52.062627743566956,6.679693531828202,78.90308082857572,maize
87,48,52,27.00507608769421,65.00745518373746,6.879046866194514,99.63772640638166,maize
104,43,40,20.0658150848894,68.89740291193681,5.991644756517434,72.20798734875713,maize
83,38,46,25.315022240868437,69.20013636434885,6.997407782345079,89.22832061227862,maize
84,45,54,23.77706275106562,59.46118246149357,5.991779921731458,80.94310324252756,maize
79,51,51,20.338881155825533,51.07088244623711,6.839126237907729,90.71422518603217,maize
76,52,49,21.821727532100233,50.53883777006536,5.976523103671213,96.40102085771423,maize
85,41,49,19.01991364353062,58.226769038390046,6.661298454041585,108.30056952190715,maize
96,35,37,23.022934340876535,53.27875706772384,6.76968737483214,60.776811398599534,maize
90,38,54,21.11100465533817,61.86062709955042,6.805370074769851,105.38245152284983,maize
104,51,45,23.535850014185606,66.28825835925417,6.083719944603381,109.14356068760338,maize
85,46,36,25.887149007192026,51.344752584966784,6.980222118803062,107.00777953464484,maize
92,52,47,20.4779821194737,52.22579927802706,6.697995212962688,73.190594096403,maize
78,44,42,22.73160421297396,53.96842785068727,6.369598370950902,62.13584364530367,maize
96,50,50,23.08704369989904,56.659451187469436,6.438728139567893,111.7733801060356,maize
70,44,45,20.095370419241917,69.46101158309556,6.667701235760539,79.60860429019768,maize
104,42,41,25.080424068614768,52.82460026435177,6.489830805876235,95.86524663265584,maize
93,39,35,22.487943346343535,59.603452193682244,6.371780101379794,80.9804739045122,maize
87,48,52,22.217909160875806,68.35801745997864,6.7240124281773435,71.18052752048273,maize
81,41,53,22.818467365794106,62.31209666945085,6.033688283190466,100.96946468837847,maize
77,46,37,21.06019480510281,53.95489511277026,6.6002996166973285,117.40350077346402,maize
100,38,47,18.424926788434743,56.191288160076994,5.841162129928603,115.9947025185343,maize
75,53,37,22.38426033380864,68.0419525248222,6.396082492478262,72.53402206002178,maize
82,44,45,21.816840160174955,65.76926526772296,5.800391625267512,102.1861062492442,maize
76,45,42,22.71261008134514,55.43748704468056,6.468799931943467,102.50945098066994,maize
96,38,33,22.307175904530652,62.99929022523514,7.241717829834624,67.67593327855296,cotton
108,32,44,26.14658108665543,71.62408691932386,6.068940623527102,74.58586088042358,cotton
104,30,31,30.272442009530216,70.76661517149236,6.2842276255575475,85.13262493354267,cotton
124,42,44,24.915452020527177,62.622371344946885,6.50794228664718,71.51647309618477,cotton
101,32,39,23.731731977895585,61.33916705678551,6.027143018459344,70.70027994961612,cotton
94,34,30,26.991830175629566,79.05807045367776,7.221185834456435,68.58843702652587,cotton
103,43,42,27.69401911995445,71.22417580250786,7.133748590187253,80.23170243036103,cotton
105,31,42,21.43030269631843,72.10024257451802,6.735127895429416,97.79302956529855,cotton
117,30,39,25.814686852823876,69.37943585582468,6.7476315638757,96.40599549486484,cotton
95,42,33,28.336906652138097,74.3497728963567,6.1618788880319695,61.030625083385836,cotton
101,30,48,30.153773409922184,62.767243522037994,6.570272088679801,82.59404139265675,cotton
94,32,44,23.761631526569374,73.52725111925832,7.402782068428824,81.61723194454807,cotton
110,38,32,24.482869120845862,67.92100799895533,7.0523978278468435,56.216168096399414,cotton
92,43,47,26.55523419990961,66.26023523068606,7.2697490075950375,91.20403495630532,cotton
114,39,39,30.57809206433277,63.89606051861642,7.458991894047479,80.5763778646181,cotton
124,44,36,29.631851318122404,75.76749461853282,6.796677544859676,54.48106821165536,cotton
93,30,43,27.962929302946772,65.50408748170122,6.117879012185913,81.24291569648335,cotton
128,44,42,20.312461091369094,74.3648457974483,7.152826926130164,59.29854318038815,cotton
120,49,48,25.38699355560339,61.260218411254364,7.43614242508558,85.04748031825605,cotton
90,47,40,20.89804955871997,60.70960360092505,7.427392032307904,88.05280605209086,cotton
115,46,40,25.47654254676358,65.76932456616643,7.271373785593429,88.49927628356828,cotton
129,47,40,26.194703288807194,60.07931557482811,7.191862786109512,57.80633804930882,cotton
119,41,37,21.535822301407322,78.2186369057419,6.518770557158264,70.99313969717741,cotton
96,49,40,23.655985285880234,61.10958546021313,7.213463811023326,97.79985006202702,cotton
96,40,48,24.60784546570292,72.0404818315591,7.206888210348639,83.06296516052188,cotton
97,33,45,23.47714746308803,70.93794232785577,7.040579769424992,71.5353114084124,cotton
124,46,38,22.007050671183062,79.20937067673046,6.7603152082234494,71.88008189692705,cotton
94,31,37,21.919288478070957,71.21217918579406,7.059849157568326,84.64335476992437,cotton
108,49,43,28.212234865663618,69.84132001132386,6.404981510405956,97.06374282670372,cotton
93,42,36,24.276775003789258,67.12765651528821,6.268148585059511,97.25420499131472,cotton
129,42,44,30.568526090547863,71.44785558437617,7.269584986445016,52.7167299789759,cotton
112,34,38,31.374259067926552,71.77157460292639,6.750549672257257,52.459345014275335,cotton
96,34,36,22.570813594570133,72.4945491391359,6.389861708365601,88.67416635925588,cotton
95,31,39,29.77341819788083,73.3949817779965,6.192405891924974,62.051295787479155,cotton
129,33,42,24.149957162273292,66.60697701610046,6.1017416229527,60.75731245374537,cotton
94,34,33,25.145377695999493,78.96601522786523,6.699946719271856,66.72529456309722,cotton
